event_ts,market_key,action,state_from,state_to,p1_price,p2_price,pnl_estimate,reason_code,simulated_latency_ms,simulated_fill_ratio,simulated_slippage_bps,simulated_cancelled,simulated_hedge_fail
2026-03-26T04:23:54Z,SOL5M_20260326T042500Z,close_position,UNWIND,CLOSED,0.144783,0.87731642,-0.0941408867,unwind_on_loss_limit,275,1.0,14.273072,False,False
2026-03-26T04:23:55Z,SOL5M_20260326T042500Z,open_leg1,IDLE,LEG1_OPEN,0.133702,,0.0,leg1_opened,,,,False,False
2026-03-26T04:23:56Z,SOL5M_20260326T042500Z,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.133702,0.87577796,0.0,below_target_profit,676,0.6481823,14.693816,False,False
2026-03-26T04:23:57Z,SOL5M_20260326T042500Z,timeout_leg2,LEG1_OPEN,LEG1_OPEN,0.133702,0.887221,0.0,leg2_not_found_timeout,219,1.0,14.632246,False,True
2026-03-26T04:23:57Z,SOL5M_20260326T042500Z,timeout_leg2,LEG1_OPEN,UNWIND,0.133702,0.887221,0.0,unwind_on_timeout,219,1.0,14.632246,False,True
2026-03-26T04:23:57Z,SOL5M_20260326T042500Z,close_position,UNWIND,CLOSED,0.133702,0.887221,-0.0676878431,unwind_on_timeout,219,1.0,14.632246,False,True
2026-03-26T04:23:58Z,SOL5M_20260326T042500Z,open_leg1,IDLE,LEG1_OPEN,0.156755,,0.0,leg1_opened,,,,False,False
2026-03-26T04:23:59Z,SOL5M_20260326T042500Z,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.156755,0.85809987,0.0,below_target_profit,142,1.0,15.33486,False,False
2026-03-26T04:24:00Z,SOL5M_20260326T042500Z,timeout_leg2,LEG1_OPEN,LEG1_OPEN,0.156755,0.848802,0.0,leg2_not_found_timeout,285,0.38550854,14.35149,False,True
2026-03-26T04:24:00Z,SOL5M_20260326T042500Z,timeout_leg2,LEG1_OPEN,UNWIND,0.156755,0.848802,0.0,unwind_on_timeout,285,0.38550854,14.35149,False,True
2026-03-26T04:24:00Z,SOL5M_20260326T042500Z,close_position,UNWIND,CLOSED,0.156755,0.848802,-0.0,unwind_on_timeout,285,0.38550854,14.35149,False,True
2026-03-26T04:24:01Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.158462,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:02Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.158649,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:03Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.154617,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:04Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.184184,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:05Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.171358,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:06Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.185598,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:07Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.181983,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:08Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.176172,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:09Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.184788,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:10Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.184724,,0.0,entry_cutoff_blocked,,,,False,False
